Local time in Monte Real (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
08.07.2018 21:00,"19,6","760,3","765,7","0,8",89,Wind blowing from the north-west,3,,,100%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,200-300,,,"10,0","17,8",No precipitation,12,,,,
08.07.2018 18:00,"21,9","759,5","764,9","-0,2",73,Wind blowing from the north-west,4,,,no clouds,,,,,"24,1",,,,,,"10,0","16,9",No precipitation,3,,,,
08.07.2018 15:00,"23,6","759,7","765,1","0,0",64,Wind blowing from the west,4,,,no clouds,,,,,,,,,,,"10,0","16,3",No precipitation,3,,,,
08.07.2018 12:00,"23,2","759,7","765,1","0,2",64,Wind blowing from the west,4,,,no clouds,,,,,,,,,,,"10,0","16,1",No precipitation,3,,,,
08.07.2018 09:00,"20,4","759,5","764,9","0,7",76,Wind blowing from the north-west,2,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,9",,,,,,
08.07.2018 06:00,"16,8","758,8","764,3","0,0",95,Wind blowing from the north,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,"16,5",,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","8,0","16,0",No precipitation,3,,,,
08.07.2018 03:00,"16,7","758,8","764,3","-0,7",95,Wind blowing from the north,1,,,60%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","6,0","15,9",No precipitation,3,,,,
08.07.2018 00:00,"17,7","759,5","765,0","-0,3",94,Wind blowing from the north,2,,,50%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","16,7",No precipitation,3,,,,
07.07.2018 21:00,"18,8","759,8","765,2","0,7",88,Wind blowing from the north-northwest,3,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","16,8",No precipitation,12,,,,
07.07.2018 18:00,"21,2","759,1","764,5","-0,3",75,Wind blowing from the north-northwest,6,,,40%.,,,,,"24,4","Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","16,5",No precipitation,3,,,,
07.07.2018 15:00,"23,1","759,4","764,8","-0,4",60,Wind blowing from the north-west,6,,,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,8",No precipitation,3,,,,
07.07.2018 12:00,"22,7","759,8","765,2","-0,2",64,Wind blowing from the north-northwest,5,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,4",No precipitation,3,,,,
07.07.2018 09:00,"19,9","760,0","765,4","0,2",78,Wind blowing from the north,5,,,70 – 80%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","16,0",,,,,,
07.07.2018 06:00,"16,0","759,8","765,3","-0,2",98,Wind blowing from the north-northwest,2,,,50%.,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"15,7",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","3,0","15,7",No precipitation,3,,,,
07.07.2018 03:00,"16,4","760,0","765,4","-0,6",96,Wind blowing from the north,2,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,8",No precipitation,3,,,,
07.07.2018 00:00,"17,4","760,6","766,0","-0,5",94,Wind blowing from the north-west,2,,,"10% or less, but not 0",,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","16,4",No precipitation,3,,,,
06.07.2018 21:00,"18,1","761,1","766,6","0,7",89,Wind blowing from the north-northwest,4,,,40%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","16,3",No precipitation,12,,,,
06.07.2018 18:00,"20,8","760,4","765,8","-0,6",74,Wind blowing from the north-northwest,6,,,20–30%.,,,,,"22,8","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,9",No precipitation,3,,,,
06.07.2018 15:00,"22,4","761,0","766,4","-0,5",61,Wind blowing from the north-northwest,5,,,20–30%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,4",No precipitation,3,,,,
06.07.2018 12:00,"20,5","761,5","766,9","0,0",74,Wind blowing from the north-northwest,6,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","15,6",No precipitation,3,,,,
06.07.2018 09:00,"19,3","761,5","766,9","0,1",77,Wind blowing from the north-northeast,5,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","15,2",,,,,,
06.07.2018 06:00,"17,4","761,4","766,9","0,0",91,Wind blowing from the north,3,,,"90 or more, but not 100%",,,,"16,4",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","15,9",No precipitation,3,,,,
06.07.2018 03:00,"17,0","761,4","766,9","-0,9",91,Wind blowing from the north,4,,,50%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,5",No precipitation,3,,,,
06.07.2018 00:00,"17,4","762,3","767,8","-0,1",91,Wind blowing from the north,3,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,9",No precipitation,3,,,,
05.07.2018 21:00,"18,7","762,4","767,9","0,3",83,Wind blowing from the north,4,,9,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","15,8",No precipitation,12,,,,
05.07.2018 18:00,"20,5","762,1","767,5","-0,6",70,Wind blowing from the north-northwest,6,,,50%.,,,,,"22,9","Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","14,9","0,1",12,,,,
05.07.2018 15:00,"22,1","762,7","768,1","-0,3",65,Wind blowing from the north-northwest,5,,,60%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","15,1",No precipitation,3,,,,
05.07.2018 12:00,"21,4","763,0","768,4","0,2",68,Wind blowing from the north-northwest,5,,,50%.,State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","15,3","0,1",6,,,,
05.07.2018 09:00,"19,8","762,8","768,2","0,4",78,Wind blowing from the north-northwest,4,,,70 – 80%.,Clouds generally dissolving or becoming less developed.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,9",,,,,,
05.07.2018 06:00,"17,4","762,4","767,9","0,3",95,Wind blowing from the north-northeast,1,,,"90 or more, but not 100%",,,,"16,9",,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",200-300,,,"10,0","16,6","0,3",12,,,,
05.07.2018 03:00,"17,8","762,1","767,5","-0,2",94,Wind blowing from the north-west,3,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",200-300,,,"10,0","16,8",No precipitation,3,,,,
05.07.2018 00:00,"18,0","762,3","767,8","0,2",94,Wind blowing from the north-west,2,,,60%.,Clouds generally dissolving or becoming less developed.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","17,0","0,3",6,,,,
04.07.2018 21:00,"18,3","762,1","767,6","0,8",92,Wind blowing from the north-northwest,2,,,"90 or more, but not 100%",Shower(s) of rain.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","17,0","0,3",12,,,,
04.07.2018 18:00,"20,1","761,3","766,7","0,3",76,Wind blowing from the north-northwest,4,,9,60%.,,,,,"22,2","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,8",Trace of precipitation,12,,,,
04.07.2018 15:00,"21,3","761,0","766,4","0,4",71,Wind blowing from the north-west,5,,9,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","15,7",No precipitation,3,,,,
04.07.2018 12:00,"21,3","760,6","766,0","0,9",71,Wind blowing from the north-west,5,,,"90 or more, but not 100%",State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","15,7",Trace of precipitation,6,,,,
04.07.2018 09:00,"19,6","759,7","765,1","0,7",82,Wind blowing from the west-northwest,4,,,"90 or more, but not 100%",State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","16,5",,,,,,
04.07.2018 06:00,"14,4","759,0","764,5","0,3",95,Wind blowing from the south,2,,,60%.,,,,"13,2",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","13,6",No precipitation,3,,,,
04.07.2018 03:00,"13,5","758,7","764,2","-0,4",96,Wind blowing from the south,2,,,50%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","12,9",No precipitation,3,,,,
04.07.2018 00:00,"15,4","759,1","764,5","-0,2",91,Wind blowing from the south,1,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,0",No precipitation,3,,,,
03.07.2018 21:00,"17,7","759,3","764,8","0,5",80,Wind blowing from the north,1,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,1",No precipitation,12,,,,
03.07.2018 18:00,"20,0","758,8","764,2","0,0",74,Wind blowing from the west-northwest,4,,,"90 or more, but not 100%",,,,,"22,7","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,2",No precipitation,3,,,,
03.07.2018 15:00,"22,5","758,8","764,1","-0,3",61,Wind blowing from the west-northwest,4,,,60%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,5",No precipitation,3,,,,
03.07.2018 12:00,"21,9","759,1","764,5","0,0",52,Wind blowing from the north-west,3,,5,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,5",No precipitation,3,,,,
03.07.2018 09:00,"19,3","759,1","764,5","0,3",76,Wind blowing from the west-northwest,2,,,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,0",,,,,,
03.07.2018 06:00,"15,0","758,8","764,3","0,2",98,Wind blowing from the south-southeast,1,,,70 – 80%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"14,6",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","3,0","14,7",No precipitation,3,,,,
03.07.2018 03:00,"16,7","758,6","764,1","-0,8",97,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","16,2",No precipitation,3,,,,
03.07.2018 00:00,"17,9","759,4","764,9","0,3",92,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","16,6",No precipitation,3,,,,
02.07.2018 21:00,"18,4","759,1","764,5","0,4",88,Wind blowing from the west,2,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","16,4",Trace of precipitation,12,,,,
02.07.2018 18:00,"19,9","758,7","764,1","0,2",76,Wind blowing from the west,4,,7,"90 or more, but not 100%",,,,,"21,0","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,6",Trace of precipitation,12,,,,
02.07.2018 15:00,"20,6","758,5","763,9","0,3",73,Wind blowing from the west,4,,,100%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"10,0","15,5",No precipitation,3,,,,
02.07.2018 12:00,"20,1","758,2","763,6","1,2",77,Wind blowing from the west-southwest,4,,,100%.,State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"10,0","16,0",Trace of precipitation,6,,,,
02.07.2018 09:00,"19,4","757,0","762,4","0,9",84,Wind blowing from the west-southwest,4,,,100%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"10,0","16,7",,,,,,
02.07.2018 06:00,"17,8","756,1","761,5","0,5",93,Wind blowing from the south-southwest,3,,,100%.,State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"17,4",,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,,,"10,0","16,7","0,2",12,,,,
02.07.2018 03:00,"18,0","755,6","761,0","0,5",96,Wind blowing from the south-west,2,,,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",200-300,,,"10,0","17,4",No precipitation,3,,,,
02.07.2018 00:00,"17,4","755,1","760,5","0,1",95,Wind blowing from the south,3,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","16,6",No precipitation,3,,,,
01.07.2018 21:00,"18,6","755,0","760,4","1,0",90,Wind blowing from the south-southwest,3,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",200-300,,,"10,0","17,0","0,2",12,,,,
01.07.2018 18:00,"20,7","754,0","759,4","0,3",76,Wind blowing from the south-west,6,,,"90 or more, but not 100%",State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"24,1","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,Altocumulus translucidus at a single level.,,"10,0","16,2","0,3",12,,,,
01.07.2018 15:00,"21,4","753,7","759,0","-0,3",67,Wind blowing from the west-southwest,7,,,"90 or more, but not 100%",Shower(s) of rain.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",600-1000,,,"10,0","15,1","0,1",3,,,,
01.07.2018 12:00,"22,9","754,0","759,3","0,3",64,Wind blowing from the south-west,5,,,"90 or more, but not 100%",State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",600-1000,,,"10,0","15,6","0,2",6,,,,
01.07.2018 09:00,"19,7","753,7","759,1","0,7",81,Wind blowing from the south-southwest,3,,,70 – 80%.,Clouds generally dissolving or becoming less developed.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,300-600,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","16,4",,,,,,
01.07.2018 06:00,"17,5","753,0","758,4","0,6",95,Wind blowing from the south,3,,,"90 or more, but not 100%",,,,"17,2",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","16,7","0,3",12,,,,
01.07.2018 03:00,"17,6","752,4","757,8","-0,1",95,Wind blowing from the south,3,,,"90 or more, but not 100%",State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","16,8","0,3",3,,,,
01.07.2018 00:00,"18,1","752,5","757,9","0,4",90,Wind blowing from the south,4,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","16,5",No precipitation,3,,,,
30.06.2018 21:00,"18,5","752,1","757,5","0,7",87,Wind blowing from the south-southwest,3,,,40%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","16,3","0,5",12,,,,
30.06.2018 18:00,"20,8","751,4","756,7","0,0",71,Wind blowing from the south-west,3,,,60%.,Clouds generally dissolving or becoming less developed.,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"22,9","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,4","0,5",12,,,,
30.06.2018 15:00,"19,0","751,4","756,8","-0,2",88,Wind blowing from the south,3,,,"90 or more, but not 100%","Rain, not freezing, continuous, slight at time of observation.",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","17,0","0,5",3,,,,
30.06.2018 12:00,"19,1","751,6","757,0","0,5",84,Wind blowing from the west,4,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","16,4",No precipitation,3,,,,
30.06.2018 09:00,"18,6","751,1","756,5","0,4",85,Wind blowing from the south-southeast,3,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"8,0","16,1",,,,,,
30.06.2018 06:00,"16,4","750,7","756,1","-0,4",99,Wind blowing from the south-southeast,2,,,"90 or more, but not 100%",Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,"16,2",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"1,5","16,2","0,8",12,,,,
30.06.2018 03:00,"16,8","751,1","756,5","-0,4",98,Wind blowing from the north,1,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,200-300,Altocumulus translucidus at a single level.,,"5,0","16,5",No precipitation,3,,,,
30.06.2018 00:00,"17,4","751,5","756,9","-0,1",97,Wind blowing from the north-east,2,,,"90 or more, but not 100%",Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"10,0","16,9","0,8",6,,,,
29.06.2018 21:00,"17,5","751,6","757,0","-0,3",95,Wind blowing from the north-northeast,2,,,"90 or more, but not 100%",Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","8,0","16,7",,,,,,
29.06.2018 18:00,"19,1","751,9","757,3","0,2",77,Wind blowing from the west,3,,,"90 or more, but not 100%","Rain, not freezing, continuous, slight at time of observation.",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"21,8","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","15,0",Trace of precipitation,12,,,,
29.06.2018 15:00,"20,6","751,7","757,0","-0,6",70,Wind blowing from the north-west,4,,,"90 or more, but not 100%",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","14,8",No precipitation,3,,,,
29.06.2018 12:00,"20,7","752,3","757,6","-0,5",69,Wind blowing from the north-northwest,3,,,100%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","14,7",No precipitation,3,,,,
29.06.2018 09:00,"19,1","752,8","758,2","0,0",72,Wind blowing from the north,3,,,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","13,8",,,,,,
