Local time in Montijo (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
05.03.2018 09:00,"13,6","744,6","745,9","-0,2",69,Wind blowing from the west,12,19,19,"90 or more, but not 100%",Shower(s) of rain.,Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,600-1000,Altocumulus translucidus at a single level.,Cirrus spissatus cumulonimbogenitus.,"15,0","7,9",,,,,,
05.03.2018 06:00,"12,5","744,8","746,1","-1,4",82,Wind blowing from the west-southwest,10,20,20,"90 or more, but not 100%","Rain shower(s), slight.",Thunderstorm(s) with or without precipitation.,Shower(s).,"12,1",,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","90 or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.",Cirrus spissatus cumulonimbogenitus.,"12,0","9,4","0,4",3,,,,
05.03.2018 03:00,"13,5","746,2","747,4","-2,0",81,Wind blowing from the south-west,8,13,13,"90 or more, but not 100%",Thunderstorm (with or without precipitation).,Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,Altocumulus translucidus at a single level.,Cirrus spissatus cumulonimbogenitus.,"15,0","10,3",1,3,,,,
05.03.2018 00:00,"12,7","748,2","749,5","0,1",86,Wind blowing from the south-west,4,,12,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","15,0","10,4",No precipitation,3,,,,
04.03.2018 21:00,"13,2","748,1","749,3","1,0",80,Wind blowing from the west,6,9,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","15,0","9,7",4,12,,,,
04.03.2018 18:00,"14,1","747,1","748,4","-0,1",81,Wind blowing from the west-southwest,6,9,14,"90 or more, but not 100%","Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",Shower(s).,Rain.,,"15,4","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",70 – 80%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","6,0","10,9",No precipitation,3,,,,
04.03.2018 15:00,"15,1","747,2","748,4","-1,7",86,Wind blowing from the south-southwest,7,,14,"90 or more, but not 100%",Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","12,8",3,3,,,,
04.03.2018 12:00,"14,1","748,9","750,1","-0,3",77,Wind blowing from the south,6,,10,100%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","15,0","10,0",No precipitation,3,,,,
04.03.2018 09:00,"11,1","749,2","750,5","1,5",100,Wind blowing from the south-east,2,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","11,1",,,,,,
04.03.2018 06:00,"6,9","747,7","748,9","0,4",100,Wind blowing from the west,1,,,no clouds,,,,"6,8",,,,,,,"20,0","6,9",No precipitation,3,,,,
04.03.2018 03:00,"9,7","747,3","748,5","0,3",100,Wind blowing from the south-west,1,,,100%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,7",No precipitation,3,,,,
04.03.2018 00:00,"12,0","747,0","748,2","0,8",98,Wind blowing from the west-northwest,2,,,100%.,Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"15,0","11,7",2,3,,,,
03.03.2018 21:00,"12,7","746,2","747,4","0,3",100,Wind blowing from the south-west,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation.",Shower(s).,Rain.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"9,0","12,7",25,12,,,,
03.03.2018 18:00,"14,9","745,9","747,1","0,0",86,Wind blowing from the south-southwest,7,12,14,100%.,"Rain shower(s), slight.",Thunderstorm(s) with or without precipitation.,Shower(s).,,"16,6","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"10,0","12,6",Trace of precipitation,3,,,,
03.03.2018 15:00,"16,3","745,9","747,1","-2,4",86,Wind blowing from the south-southwest,8,13,14,"90 or more, but not 100%",Mist.,Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"10,0","14,0",12,3,,,,
03.03.2018 12:00,"12,8","748,3","749,5","-0,8",100,Wind blowing from the north,1,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,100-200,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"5,0","12,8",4,3,,,,
03.03.2018 09:00,"13,1","749,1","750,3","0,6",93,Wind blowing from the south-west,5,,10,100%.,"Rain shower(s), slight.",Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,Altocumulus translucidus at a single level.,,"7,0","12,0",,,,,,
03.03.2018 06:00,"13,9","748,5","749,8","-0,2",86,Wind blowing from the south-west,6,,14,40%.,,,,"13,2",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,6",No precipitation,3,,,,
03.03.2018 03:00,"14,0","748,7","749,9","0,7",82,Wind blowing from the west-southwest,7,,14,40%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,0",No precipitation,3,,,,
03.03.2018 00:00,"13,9","748,0","749,3","1,1",79,Wind blowing from the south-west,8,13,13,40%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","10,2",No precipitation,3,,,,
02.03.2018 21:00,"14,2","746,9","748,1","2,2",84,Wind blowing from the west-southwest,6,,13,"90 or more, but not 100%",Shower(s) of rain.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,6",4,12,,,,
02.03.2018 18:00,"14,3","744,7","745,9",,81,Wind blowing from the west-southwest,8,13,20,70 – 80%.,Shower(s) of rain.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"17,9","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,1",2,3,,,,
02.03.2018 15:00,"17,0",,,,77,Wind blowing from the east-southeast,9,17,18,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","13,0",No precipitation,3,,,,
02.03.2018 12:00,"17,3","743,1","744,3","-0,1",86,Wind blowing from the south-west,10,18,18,"90 or more, but not 100%",Clouds generally dissolving or becoming less developed.,Rain.,Drizzle.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"10,0","15,0",Trace of precipitation,3,,,,
02.03.2018 09:00,"12,7","743,2","744,4","-1,1",100,Wind blowing from the west-southwest,3,,7,100%.,"Rain, not freezing, intermittent, slight at time of observation.",Rain.,Drizzle.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90 or more, but not 100%",100-200,,,"6,0","12,7",,,,,,
02.03.2018 06:00,"10,5","744,3","745,6","-2,1",100,Wind blowing from the east-southeast,5,,8,100%.,Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"10,4",,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,100-200,,,"20,0","10,5",1,3,,,,
02.03.2018 03:00,"12,3","746,4","747,7","-2,3",84,Wind blowing from the south-southeast,4,,,100%.,"Rain, not freezing, intermittent, slight at time of observation.",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,1000-1500,Altostratus opacus or Nimbostratus.,,"15,0","9,7",Trace of precipitation,3,,,,
02.03.2018 00:00,"12,8","748,7","749,9","0,6",69,Wind blowing from the south-west,5,,10,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,3",No precipitation,3,,,,
01.03.2018 21:00,"12,3","748,1","749,4","2,3",76,Wind blowing from the south-west,4,,10,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,2",1,12,,,,
01.03.2018 18:00,"13,3","745,8","747,1","3,9",65,Wind blowing from the west,7,,18,60%.,State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,"15,4","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","6,7",No precipitation,3,,,,
01.03.2018 15:00,"15,0","741,9","743,1","5,7",59,Wind blowing from the west,11,,18,50%.,Shower(s) of rain.,Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","7,1",Trace of precipitation,3,,,,
01.03.2018 12:00,"15,0","736,2","737,4","2,1",94,Wind blowing from the west-southwest,10,16,16,"90 or more, but not 100%",Shower(s) of rain.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",70 – 80%.,300-600,Altocumulus translucidus at a single level.,Cirrus spissatus cumulonimbogenitus.,"4,0","14,1",1,3,,,,
01.03.2018 09:00,"13,9","734,1","735,3","0,4",100,Wind blowing from the south-west,7,,14,"90 or more, but not 100%","Rain shower(s), slight.",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","6,0","13,9",,,,,,
01.03.2018 06:00,"13,7","733,7","734,9","-1,9",99,Wind blowing from the south,6,,14,"90 or more, but not 100%","Rain shower(s), slight.",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"13,2",,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",200-300,,,"8,0","13,6",4,3,,,,
01.03.2018 03:00,"14,9","735,6","736,9","-2,2",92,Wind blowing from the south,8,,14,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","13,6",No precipitation,3,,,,
01.03.2018 00:00,"14,6","737,8","739,0","-1,3",92,Wind blowing from the south-southwest,7,,15,60%.,Shower(s) of rain.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","15,0","13,3",1,3,,,,
28.02.2018 21:00,"14,9","739,1","740,4","-0,9",91,Wind blowing from the south-southwest,8,,14,70 – 80%.,Shower(s) of rain.,Shower(s).,Rain.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","13,5",4,12,,,,
28.02.2018 18:00,"15,1","740,0","741,3","-0,1",95,Wind blowing from the south-southwest,6,,17,100%.,"Rain, not freezing, intermittent, slight at time of observation.",Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,"17,4","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.",,"7,0","14,3","0,1",3,,,,
28.02.2018 15:00,"17,2","740,1","741,3","-1,6",74,Wind blowing from the south-west,6,,17,70 – 80%.,Clouds generally dissolving or becoming less developed.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","12,4",Trace of precipitation,3,,,,
28.02.2018 12:00,"15,7","741,7","742,9","-0,5",95,Wind blowing from the south-southwest,8,,12,100%.,Shower(s) of rain.,Shower(s).,Rain.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.",,"8,0","14,9","0,2",3,,,,
28.02.2018 09:00,"15,4","742,2","743,4",,97,Wind blowing from the south-west,7,,,100%.,Drizzle (not freezing) or snow grains not falling as shower(s).,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.",,"8,0","14,9",,,,,,
28.02.2018 06:00,"14,3","743,2","744,4","-0,9",100,Wind blowing from the south-west,4,,16,100%.,Clouds generally forming or developing.,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"14,0",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,200-300,,,"20,0","14,3",3,3,,,,
28.02.2018 03:00,"14,9","744,1","745,4","-1,8",100,Wind blowing from the south-southwest,8,15,16,100%.,"Rain, not freezing, continuous, slight at time of observation.",Rain.,Rain.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,,,"10,0","14,9",3,3,,,,
28.02.2018 00:00,"14,6","745,9","747,1","-2,3",100,Wind blowing from the south-southwest,8,13,14,100%.,"Rain, not freezing, continuous, slight at time of observation.",Rain.,Rain.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"8,0","14,6",3,3,,,,
27.02.2018 21:00,"15,1","748,2","749,4","-1,3",96,Wind blowing from the south-southwest,8,14,14,100%.,"Rain, not freezing, continuous, slight at time of observation.",Rain.,Rain.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"15,0","14,5",7,12,,,,
27.02.2018 18:00,"15,0","749,5","750,7","-1,5",97,Wind blowing from the south-southwest,6,,12,100%.,"Rain, not freezing, continuous, slight at time of observation.",Rain.,Rain.,,"16,7","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"20,0","14,5",5,3,,,,
27.02.2018 15:00,"16,1","751,0","752,2","-1,2",83,Wind blowing from the south-west,6,,10,100%.,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","13,1",No precipitation,3,,,,
27.02.2018 12:00,"15,7","752,2","753,4","0,0",84,Wind blowing from the south-west,5,,,100%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","12,9",No precipitation,3,,,,
27.02.2018 09:00,"14,2","752,2","753,4","0,4",91,Wind blowing from the south-west,4,6,6,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","15,0","12,8",,,,,,
27.02.2018 06:00,"12,3","751,8","753,1","0,3",96,Wind blowing from the south-west,3,,9,"10% or less, but not 0",,,,"12,3",,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","11,7",No precipitation,3,,,,
27.02.2018 03:00,"13,5","751,5","752,8","0,2",96,Wind blowing from the west-southwest,4,,7,50%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","12,9",No precipitation,3,,,,
27.02.2018 00:00,"13,5","751,3","752,6","0,6",100,Wind blowing from the west-southwest,4,,,100%.,Rain (not freezing) not falling as shower(s).,Rain.,Drizzle.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"20,0","13,5","0,7",3,,,,
26.02.2018 21:00,"12,6","750,7","751,9","0,6",100,Wind blowing from the south-east,3,,,100%.,Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,,,"15,0","12,6",3,12,,,,
26.02.2018 18:00,"13,1","750,1","751,3","-0,2",95,Wind blowing from the east-southeast,5,,9,100%.,Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"13,9","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,600-1000,,,"12,0","12,3",2,3,,,,
26.02.2018 15:00,"13,7","750,3","751,6","-1,9",88,Wind blowing from the east,5,,8,100%.,"Rain, not freezing, continuous, slight at time of observation.",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"11,0","11,8","0,8",3,,,,
26.02.2018 12:00,"11,1","752,2","753,4","-0,2",86,Wind blowing from the north,3,,9,"90 or more, but not 100%",Mist.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,1500-2000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","5,0","8,9",Trace of precipitation,3,,,,
26.02.2018 09:00,"9,0","752,4","753,7","-0,7",85,Wind blowing from the north-northeast,7,,8,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,1500-2000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","6,6",,,,,,
26.02.2018 06:00,"7,8","753,1","754,5","-1,0",93,Wind blowing from the north-northeast,4,,7,20–30%.,,,,"7,7",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,8",No precipitation,3,,,,
26.02.2018 03:00,"9,2","754,1","755,4","-1,1",85,Wind blowing from the east,4,,6,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,8",No precipitation,3,,,,
26.02.2018 00:00,"10,4","755,2","756,4","-0,6",91,Wind blowing from the east,4,,6,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,0",No precipitation,3,,,,
25.02.2018 21:00,"11,1","755,8","757,0","0,0",84,Wind blowing from the east,2,,6,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,5",No precipitation,12,,,,
25.02.2018 18:00,"16,3","755,8","757,0","0,0",59,Wind blowing from the south-southwest,4,,7,40%.,,,,,"19,4","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,1",No precipitation,3,,,,
25.02.2018 15:00,"19,0","755,8","757,1","-1,3",40,Wind blowing from the south-southeast,4,,6,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",1500-2000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","4,9",No precipitation,3,,,,
25.02.2018 12:00,"13,0","757,1","758,4","-0,2",73,Wind blowing from the north,4,,6,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","8,3",No precipitation,3,,,,
25.02.2018 09:00,"6,7","757,3","758,6","1,0",96,Wind blowing from the north-northeast,4,,,"10% or less, but not 0",Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","6,1",,,,,,
