Local time in Ovar (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
26.10.2018 12:00,"18,0","759,4","760,9","-0,3",75,Wind blowing from the west,2,,,50%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","13,4",No precipitation,3,,,,
26.10.2018 09:00,"14,2","759,7","761,2","0,5",94,Wind blowing from the north,1,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,200-300,,,"2,0","13,2",No precipitation,3,,,,
26.10.2018 06:00,"12,2","759,2","760,7","-0,5",93,Wind blowing from the north,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"11,8",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","3,0","11,1",No precipitation,3,,,,
26.10.2018 03:00,"12,4","759,7","761,2","-0,8",96,Wind blowing from the south,1,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2,0","11,7",No precipitation,3,,,,
26.10.2018 00:00,"13,0","760,5","762,0","-0,3",94,Wind blowing from the north,1,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","3,0","12,0",No precipitation,3,,,,
25.10.2018 21:00,"14,2","760,8","762,3","0,1",94,Wind blowing from the north,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","9,0","13,2",No precipitation,12,,,,
25.10.2018 18:00,"16,2","760,7","762,2","-0,8",88,Wind blowing from the north,1,,,"90 or more, but not 100%",Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,"20,2","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","9,0","14,2",No precipitation,3,,,,
25.10.2018 15:00,"19,8","761,5","763,0","-1,2",61,Wind blowing from the west,2,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,1",No precipitation,3,,,,
25.10.2018 12:00,"18,6","762,7","764,2","0,0",64,Wind blowing from the west-northwest,2,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","11,5",No precipitation,3,,,,
25.10.2018 09:00,"11,8","762,7","764,3","-0,4",89,Wind blowing from the north,1,,,20–30%.,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","9,0","10,0",No precipitation,3,,,,
25.10.2018 06:00,"7,8","763,1","764,7","-0,2",97,Wind blowing from the north,1,,,no clouds,,,,"7,8",,,,,,,"10,0","7,4",No precipitation,3,,,,
25.10.2018 03:00,"9,4","763,3","764,9","-1,1",95,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","8,6",No precipitation,3,,,,
25.10.2018 00:00,"10,4","764,4","766,0","-0,6",95,Wind blowing from the south,2,,,no clouds,,,,,,,,,,,"10,0","9,7",No precipitation,3,,,,
24.10.2018 21:00,"15,0","765,0","766,5","-0,3",88,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","13,0",No precipitation,12,,,,
24.10.2018 18:00,"18,4","765,3","766,8","-0,5",66,Wind blowing from the north,4,,,"10% or less, but not 0",,,,,"22,6","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","12,0",No precipitation,3,,,,
24.10.2018 15:00,"22,2","765,8","767,3","-1,4",51,Wind blowing from the north-west,3,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,5",No precipitation,3,,,,
24.10.2018 12:00,"21,0","767,2","768,7","-0,5",55,Wind blowing from the west,3,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,6",No precipitation,3,,,,
24.10.2018 09:00,"16,0","767,7","769,2","0,1",80,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","12,6",No precipitation,3,,,,
24.10.2018 06:00,"11,6","767,6","769,0","0,6",86,Wind blowing from the north,1,,,no clouds,,,,"10,8",,,,,,,"10,0","9,4",No precipitation,3,,,,
24.10.2018 03:00,"11,8","767,0","768,6","-0,3",84,Wind blowing from the north,1,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",1500-2000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","9,2",No precipitation,3,,,,
24.10.2018 00:00,"14,8","767,3","768,9","0,1",76,Wind blowing from the north,1,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",1500-2000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","10,6",No precipitation,3,,,,
23.10.2018 21:00,"16,0","767,2","768,7","0,9",83,"Calm, no wind",0,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","13,0",No precipitation,12,,,,
23.10.2018 18:00,"20,6","766,3","767,8","0,8",66,Wind blowing from the north,1,,,40%.,,,,,"26,8","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,2000-2500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,1",No precipitation,3,,,,
23.10.2018 15:00,"26,8","765,5","766,9","-0,5",44,Wind blowing from the east-northeast,2,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","13,4",No precipitation,3,,,,
23.10.2018 12:00,"23,8","766,0","767,5","0,0",45,Wind blowing from the east-northeast,3,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,1",No precipitation,3,,,,
23.10.2018 09:00,"18,0","766,0","767,6","1,2",56,Wind blowing from the east,3,,,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","9,1",No precipitation,3,,,,
23.10.2018 06:00,"14,6","764,8","766,3","0,4",72,Wind blowing from the north,1,,,"10% or less, but not 0",,,,"12,8",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","9,6",No precipitation,3,,,,
23.10.2018 03:00,"14,6","764,4","765,9","-0,2",74,Wind blowing from the east,2,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","10,0",No precipitation,3,,,,
23.10.2018 00:00,"16,0","764,6","766,2","0,1",71,Wind blowing from the north-northeast,3,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","10,8",No precipitation,3,,,,
22.10.2018 21:00,"13,8","764,5","766,0","0,5",94,Wind blowing from the north,1,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,8",No precipitation,12,,,,
22.10.2018 18:00,"18,4","764,0","765,5","0,2",80,Wind blowing from the north,3,,,"10% or less, but not 0",,,,,"22,8","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","14,9",No precipitation,3,,,,
22.10.2018 15:00,"22,2","763,8","765,3","-0,9",65,Wind blowing from the north-west,3,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","15,3",No precipitation,3,,,,
22.10.2018 12:00,"22,8","764,7","766,2","0,1",73,Wind blowing from the west,3,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","17,6",No precipitation,3,,,,
22.10.2018 09:00,"16,0","764,6","766,1","1,0",94,Wind blowing from the north,1,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","15,0",No precipitation,3,,,,
22.10.2018 06:00,"13,8","763,6","765,1","0,3",94,Wind blowing from the north,1,,,20–30%.,,,,"13,6",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,8",No precipitation,3,,,,
22.10.2018 03:00,"14,2","763,3","764,8","0,0",98,Wind blowing from the north,2,,,40%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","13,9",No precipitation,3,,,,
22.10.2018 00:00,"16,4","763,3","764,8","0,9",96,Wind blowing from the north,1,,,50%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","15,8",No precipitation,3,,,,
21.10.2018 21:00,"17,2","762,4","763,9","0,5",94,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90 or more, but not 100%",600-1000,,,"10,0","16,3",8,12,,,,
21.10.2018 18:00,"17,4","761,9","763,5","0,8",92,Wind blowing from the north,1,,,50%.,State of sky on the whole unchanged.,Thunderstorm(s) with or without precipitation.,Shower(s).,,"25,4","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","16,1",8,12,,,,
21.10.2018 15:00,"21,0","761,1","762,6","-0,5",74,Wind blowing from the west-northwest,2,,,70 – 80%.,Thunderstorm (with or without precipitation).,Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",50%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","16,2",Trace of precipitation,3,,,,
21.10.2018 12:00,"25,2","761,6","763,0","-0,5",53,Wind blowing from the north-east,2,,,60%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","14,9",No precipitation,3,,,,
21.10.2018 09:00,"20,4","762,1","763,6","0,9",66,Wind blowing from the east-northeast,3,,,60%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","13,9",No precipitation,3,,,,
21.10.2018 06:00,"18,0","761,2","762,7","-0,3",73,Wind blowing from the east,3,,,40%.,,,,"15,4",,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","13,0",No precipitation,3,,,,
21.10.2018 03:00,"19,6","761,5","763,0","0,0",64,Wind blowing from the east,2,,,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,6",No precipitation,3,,,,
21.10.2018 00:00,"18,0","761,5","763,0","0,8",80,Wind blowing from the north,1,,,60%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,4",No precipitation,3,,,,
20.10.2018 21:00,"21,0","760,7","762,2","0,9",62,Wind blowing from the east,3,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",600-1000,,,"10,0","13,5",No precipitation,12,,,,
20.10.2018 18:00,"22,6","759,8","761,3","-0,3",62,Wind blowing from the north,1,,,20–30%.,,,,,"25,6","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,0",No precipitation,3,,,,
20.10.2018 15:00,"25,6","760,1","761,5","-1,1",45,Wind blowing from the east,4,,10,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","12,7",No precipitation,3,,,,
20.10.2018 12:00,"23,8","761,2","762,7","-0,8",49,Wind blowing from the west-northwest,4,,,50%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","12,3",No precipitation,3,,,,
20.10.2018 09:00,"19,6","762,0","763,5","1,2",58,Wind blowing from the north-east,5,10,10,50%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus castellanus or floccus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","11,1",No precipitation,3,,,,
20.10.2018 06:00,"18,4","760,8","762,3","0,6",58,Wind blowing from the east-northeast,4,,,no clouds,,,,"14,6",,,,,,,"10,0","10,0",No precipitation,3,,,,
20.10.2018 03:00,"15,6","760,2","761,7","0,4",90,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","14,0",No precipitation,3,,,,
20.10.2018 00:00,"18,0","759,8","761,3","0,2",73,Wind blowing from the east-northeast,3,,,no clouds,,,,,,,,,,,"10,0","13,0",No precipitation,3,,,,
19.10.2018 21:00,"16,2","759,6","761,1","0,7",90,"Calm, no wind",0,,,20–30%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,6",No precipitation,12,,,,
19.10.2018 18:00,"19,2","758,9","760,4","0,6",77,Wind blowing from the north-northwest,2,,,60%.,,,,,"23,2","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,1",No precipitation,3,,,,
19.10.2018 15:00,"21,4","758,3","759,8","-0,4",61,Wind blowing from the north,6,,,40%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","10% or less, but not 0",600-1000,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","13,6",No precipitation,3,,,,
19.10.2018 12:00,"21,6","758,7","760,2","-0,1",60,Wind blowing from the north,5,,8,40%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","10% or less, but not 0",600-1000,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","13,5",No precipitation,3,,,,
19.10.2018 09:00,"18,2","758,8","760,4","0,9",68,Wind blowing from the north-northeast,3,,,20–30%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",600-1000,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","12,1",No precipitation,3,,,,
19.10.2018 06:00,"13,4","757,9","759,4","-0,2",85,Wind blowing from the north,2,,,"10% or less, but not 0",,,,"13,0",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","10,9",No precipitation,3,,,,
19.10.2018 03:00,"15,8","758,1","759,6","-0,4",88,Wind blowing from the north,3,,,no clouds,,,,,,,,,,,"10,0","13,8",No precipitation,3,,,,
19.10.2018 00:00,"15,8","758,5","760,0","0,5",86,Wind blowing from the north-northwest,2,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","13,5",No precipitation,3,,,,
18.10.2018 21:00,"15,8","758,0","759,5","1,3",90,Wind blowing from the north,3,,,no clouds,,,,,,,,,,,"10,0","14,2",No precipitation,12,,,,
18.10.2018 18:00,"17,8","756,7","758,2","0,3",83,Wind blowing from the north,3,,10,"10% or less, but not 0",,,,,"21,8","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","14,9",No precipitation,3,,,,
18.10.2018 15:00,"20,2","756,4","757,9","-1,7",71,Wind blowing from the north,6,,10,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,8",No precipitation,3,,,,
18.10.2018 12:00,"20,6","758,1","759,6","1,1",67,Wind blowing from the north,4,,,50%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","14,2",No precipitation,3,,,,
18.10.2018 09:00,"15,6","757,0","758,5","0,6",88,Wind blowing from the north-northeast,4,8,8,60%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","13,6",No precipitation,3,,,,
18.10.2018 06:00,"13,4","756,4","757,9","-0,2",96,Wind blowing from the north,1,,,20–30%.,,,,"12,8",,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","12,7","0,5",12,,,,
18.10.2018 03:00,"13,6","756,6","758,1","-1,1",96,Wind blowing from the north,1,,,100%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,200-300,,,"10,0","12,9",No precipitation,3,,,,
18.10.2018 00:00,"15,0","757,7","759,2","-1,4",90,Wind blowing from the north,4,,12,100%.,State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,200-300,,,"10,0","13,3","0,5",6,,,,
17.10.2018 21:00,"14,6","759,1","760,6","-0,2",92,Wind blowing from the north-northwest,7,,,"90 or more, but not 100%","Rain shower(s), slight.",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",300-600,,,"9,0","13,3",7,12,,,,
17.10.2018 18:00,"15,4","759,3","760,8","-0,6",86,Wind blowing from the north-northwest,5,,,"90 or more, but not 100%",Shower(s) of rain.,Shower(s).,Rain.,,"18,2","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",100-200,,,"10,0","13,1",8,12,,,,
17.10.2018 15:00,"15,2","759,9","761,4","-1,4",96,Wind blowing from the south,2,,,100%.,"Drizzle and rain, slight.",Rain.,Drizzle.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,100-200,,,"2,0","14,5",,,,,,
17.10.2018 12:00,"17,4","761,3","762,9","-0,7",83,Wind blowing from the south-southwest,3,,,70 – 80%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","14,5",No precipitation,3,,,,
17.10.2018 09:00,"15,6","762,0","763,5","-0,4",92,Wind blowing from the south-east,2,,,50%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","9,0","14,3",No precipitation,3,,,,
17.10.2018 06:00,"14,0","762,4","763,9","0,0",98,Wind blowing from the north,1,,,60%.,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"11,4",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1,2","13,7",No precipitation,3,,,,
17.10.2018 03:00,"11,6","762,4","763,9","-0,4",93,variable wind direction,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"2,0","10,5",,,,,,
17.10.2018 00:00,"12,8","762,8","764,4","0,2",98,Wind blowing from the north,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"10,0","12,5",No precipitation,3,,,,
16.10.2018 21:00,"14,4","762,6","764,2","0,7",96,Wind blowing from the north,2,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"6,0","13,7",No precipitation,12,,,,
16.10.2018 18:00,"16,2","761,9","763,5","0,7",92,Wind blowing from the north,3,,,"10% or less, but not 0",,,,,"16,2","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,9",No precipitation,3,,,,
16.10.2018 15:00,"19,2","761,2","762,7","-0,2",77,Wind blowing from the north-northwest,5,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,1",No precipitation,3,,,,
16.10.2018 12:00,"18,6","761,4","762,9","1,0",84,Wind blowing from the north-northwest,4,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","15,8",No precipitation,3,,,,
