Local time in Beja (weather station),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
29.06.2018 15:00,"29,0","738,4","754,6","-1,2",35,Wind blowing from the north,3,,,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","11,9",No precipitation,3,,,,
29.06.2018 12:00,"25,5","739,6","756,1","-0,9",46,Wind blowing from the west,3,,,40%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","12,9",No precipitation,3,,,,
29.06.2018 09:00,"19,6","740,5","757,3","0,0",72,Wind blowing from the west-northwest,3,,,20–30%.,Clouds generally dissolving or becoming less developed.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","14,3",,,,,,
29.06.2018 06:00,"13,8","740,5","757,7","-0,4",98,,,,,"90 or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"13,8",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",Less than 50,,,"1,1","13,5",No precipitation,3,,,,
29.06.2018 03:00,"15,0","740,9","758,1","-1,0",95,,,,,no clouds,,,,,,,,,,,"20,0","14,2",No precipitation,3,,,,
29.06.2018 00:00,"16,7","741,9","758,8","0,0",88,Wind blowing from the west-northwest,4,,,no clouds,,,,,,,,,,,"20,0","14,6",No precipitation,3,,,,
28.06.2018 21:00,"20,0","741,9","758,7","0,5",71,Wind blowing from the west,7,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","14,6",No precipitation,12,,,,
28.06.2018 18:00,"26,0","741,4","757,9","-0,6",51,Wind blowing from the west,7,,,40%.,,,,,"27,5","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","15,2",No precipitation,3,,,,
28.06.2018 15:00,"26,8","742,0","758,5","-1,7",42,Wind blowing from the north-west,6,,,70 – 80%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","12,8",No precipitation,3,,,,
28.06.2018 12:00,"24,6","743,7","760,3","-0,7",52,Wind blowing from the west,5,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,2",No precipitation,3,,,,
28.06.2018 09:00,"18,6","744,4","761,3","0,3",81,Wind blowing from the west-northwest,5,,,"90 or more, but not 100%",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","15,3",,,,,,
28.06.2018 06:00,"15,9","744,1","761,2","-0,6",92,Wind blowing from the west-northwest,3,,,"90 or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"15,8",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 – 80%.,2000-2500,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","14,6",No precipitation,3,,,,
28.06.2018 03:00,"16,6","744,7","761,7","-0,9",89,Wind blowing from the west,4,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,7",No precipitation,3,,,,
28.06.2018 00:00,"18,2","745,6","762,7","0,3",79,Wind blowing from the west-northwest,6,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,5",No precipitation,3,,,,
27.06.2018 21:00,"20,6","745,3","762,2","0,4",73,Wind blowing from the west,6,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","15,6",,,,,,
27.06.2018 18:00,"26,3","744,9","761,5","-0,8",52,Wind blowing from the west,7,,,"10% or less, but not 0",,,,,"28,0","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","15,7",No precipitation,3,,,,
27.06.2018 15:00,"27,3","745,7","762,2","-1,1",44,Wind blowing from the west,5,,,20–30%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,0",No precipitation,3,,,,
27.06.2018 12:00,"23,5","746,8","763,6","-1,2",57,Wind blowing from the west,5,,,20–30%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,5",No precipitation,3,,,,
27.06.2018 09:00,"18,2","748,0","765,1","0,4",78,Wind blowing from the north-west,4,,,70 – 80%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","14,2",,,,,,
27.06.2018 06:00,"14,8","747,6","764,8","-0,2",96,Wind blowing from the west,3,,,50%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"14,2",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","5,0","14,1",No precipitation,3,,,,
27.06.2018 03:00,"14,4","747,8","765,1","0,1",92,Wind blowing from the west-northwest,3,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","13,1",No precipitation,3,,,,
27.06.2018 00:00,"16,6","747,7","764,8","0,6",79,Wind blowing from the north-west,5,,,no clouds,,,,,,,,,,,"20,0","12,9",No precipitation,3,,,,
26.06.2018 21:00,"19,8","747,1","764,1","1,2",69,Wind blowing from the west,6,,,no clouds,,,,,,,,,,,"20,0","14,0",No precipitation,12,,,,
26.06.2018 18:00,"26,2","745,9","762,5","-0,2",48,Wind blowing from the west,7,,,"10% or less, but not 0",,,,,"28,4","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","14,3",No precipitation,3,,,,
26.06.2018 15:00,"27,6","746,1","762,6","-0,7",42,Wind blowing from the north-west,4,,,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","13,4",No precipitation,3,,,,
26.06.2018 12:00,"24,6","746,8","763,5","-0,6",50,Wind blowing from the west-northwest,5,,,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","13,4",No precipitation,3,,,,
26.06.2018 09:00,"19,8","747,4","764,3","0,7",69,,,,,20–30%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","14,0",,,,,,
26.06.2018 06:00,"14,1","746,7","764,0","0,3",97,,,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"13,9",,,,,,,"15,0","13,6",No precipitation,3,,,,
26.06.2018 03:00,"16,5","746,4","763,5","0,2",89,,,,,no clouds,,,,,,,,,,,"20,0","14,7",No precipitation,3,,,,
26.06.2018 00:00,"17,1","746,2","763,3","0,2",93,,,,,no clouds,,,,,,,,,,,"20,0","16,0",No precipitation,3,,,,
25.06.2018 21:00,"20,2","746,0","762,9","0,6",65,Wind blowing from the west,6,,,no clouds,,,,,,,,,,,"20,0","13,4",No precipitation,12,,,,
25.06.2018 18:00,"25,4","745,4","762,0","-0,4",56,Wind blowing from the west-northwest,6,,,no clouds,,,,,"26,2",,,,,,"20,0","15,9",No precipitation,3,,,,
25.06.2018 15:00,"24,7","745,8","762,4","-0,4",62,Wind blowing from the west-northwest,2,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","17,0",No precipitation,3,,,,
25.06.2018 12:00,"20,7","746,2","763,1","0,3",73,Wind blowing from the west-northwest,1,,,"90 or more, but not 100%",,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90 or more, but not 100%",600-1000,,,"20,0","15,7",No precipitation,3,,,,
25.06.2018 09:00,"18,2","745,9","762,9","0,8",83,Wind blowing from the west,4,,,100%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,300-600,,,"20,0","15,2",,,,,,
25.06.2018 06:00,"16,4","745,1","762,2","0,4",93,Wind blowing from the north-west,3,,,"90 or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,"15,8",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"9,0","15,3",No precipitation,3,,,,
25.06.2018 03:00,"15,8","744,7","761,8","0,3",94,Wind blowing from the west-southwest,4,,,"10% or less, but not 0","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","14,8",,,,,,
25.06.2018 00:00,"17,5","744,4","761,5","0,2",81,Wind blowing from the west,4,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"12,0","14,1",No precipitation,3,,,,
24.06.2018 21:00,"19,8","744,2","761,1","0,4",73,Wind blowing from the west,5,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"12,0","14,7",No precipitation,12,,,,
24.06.2018 18:00,"26,4","743,8","760,3","0,3",56,Wind blowing from the west,8,,,no clouds,,,,,"33,0",,,,,,"20,0","16,8",No precipitation,3,,,,
24.06.2018 15:00,"32,2","743,5","759,7","-0,8",36,Wind blowing from the south,5,,,no clouds,,,,,,,,,,,"20,0","15,5",No precipitation,3,,,,
24.06.2018 12:00,"29,4","744,3","760,6","-0,4",44,Wind blowing from the south,3,,,no clouds,,,,,,,,,,,"20,0","16,0",No precipitation,3,,,,
24.06.2018 09:00,"22,6","744,7","761,5","0,6",74,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"20,0","17,8",,,,,,
24.06.2018 06:00,"15,1","744,1","761,2","0,0",97,Wind blowing from the north,1,,,"10% or less, but not 0","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"14,6",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","4,0","14,6",No precipitation,3,,,,
24.06.2018 03:00,"16,0","744,1","761,2","-0,4",96,Wind blowing from the south-west,1,,,no clouds,,,,,,,,,,,"20,0","15,4",No precipitation,3,,,,
24.06.2018 00:00,"17,6","744,5","761,5","0,7",89,Wind blowing from the west,3,,,no clouds,,,,,,,,,,,"20,0","15,7",No precipitation,3,,,,
23.06.2018 21:00,"20,7","743,8","760,6","0,9",79,Wind blowing from the west-northwest,5,,,no clouds,,,,,,,,,,,"20,0","16,9",No precipitation,12,,,,
23.06.2018 18:00,"29,8","742,9","759,1","-0,4",49,Wind blowing from the west,8,,,no clouds,,,,,"33,4",,,,,,"20,0","17,9",No precipitation,3,,,,
23.06.2018 15:00,"32,4","743,3","759,4","-1,4",28,Wind blowing from the south-southwest,4,,,no clouds,,,,,,,,,,,"20,0","11,5",,,,,,
23.06.2018 12:00,"30,5","744,7","761,0","-0,3",34,Wind blowing from the south-southeast,4,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","12,7",No precipitation,3,,,,
23.06.2018 09:00,"25,2","745,0","761,6","0,3",54,Wind blowing from the east-southeast,3,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","15,3",,,,,,
23.06.2018 06:00,"16,2","744,7","761,8","0,3",96,Wind blowing from the south-southeast,2,,,no clouds,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"16,2",,,,,,,"8,0","15,6",No precipitation,3,,,,
23.06.2018 03:00,"17,0","744,4","761,4","-1,0",92,Wind blowing from the east,2,,,no clouds,,,,,,,,,,,"20,0","15,7",No precipitation,3,,,,
23.06.2018 00:00,"18,6","745,4","762,4","0,7",87,Wind blowing from the south-southwest,2,,,no clouds,,,,,,,,,,,"20,0","16,4",No precipitation,3,,,,
22.06.2018 21:00,"21,4","744,7","761,5","1,1",75,Wind blowing from the west,5,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","20,0","16,8",No precipitation,12,,,,
22.06.2018 18:00,"31,4","743,6","759,9","-0,9",33,Wind blowing from the south-west,3,,,20–30%.,,,,,"31,6","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","13,1",No precipitation,3,,,,
22.06.2018 15:00,"30,2","744,5","760,8","-1,3",39,Wind blowing from the south-southeast,3,,,40%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,9",No precipitation,3,,,,
22.06.2018 12:00,"25,9","745,8","762,4","-0,1",58,Wind blowing from the south-southwest,3,,,60%.,Clouds generally dissolving or becoming less developed.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,Altocumulus castellanus or floccus.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","17,0",Trace of precipitation,6,,,,
22.06.2018 09:00,"21,8","745,9","762,7","0,3",80,Wind blowing from the south-east,2,,,"90 or more, but not 100%",Clouds generally dissolving or becoming less developed.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","18,2",,,,,,
22.06.2018 06:00,"18,8","745,6","762,5","0,5",95,Wind blowing from the east,2,,,70 – 80%.,State of sky on the whole unchanged.,Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,"18,6",,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"Altocumulus of a chaotic sky, generally at several levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","18,0",1,12,,,,
22.06.2018 03:00,"20,0","745,1","762,0","-0,7",91,Wind blowing from the east-southeast,3,,,50%.,Clouds generally dissolving or becoming less developed.,Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"Altocumulus of a chaotic sky, generally at several levels.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","18,5","0,2",3,,,,
22.06.2018 00:00,"19,8","745,8","762,7","0,6",95,Wind blowing from the east,3,,,"90 or more, but not 100%","Rain shower(s), slight.",Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,"Altocumulus of a chaotic sky, generally at several levels.",,"8,0","18,9",1,6,,,,
21.06.2018 21:00,"21,1","745,2","762,0","0,5",88,Wind blowing from the west,5,,,60%.,"Lightning visible, no thunder heard.",Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,"Altocumulus of a chaotic sky, generally at several levels.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","19,0","0,8",12,,,,
21.06.2018 18:00,"26,7","744,7","761,2","0,0",52,Wind blowing from the north,5,,,"90 or more, but not 100%",Thunderstorm (with or without precipitation).,Thunderstorm(s) with or without precipitation.,Shower(s).,,"30,8","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,300-600,"Altocumulus of a chaotic sky, generally at several levels.",,"10,0","15,9",Trace of precipitation,12,,,,
21.06.2018 15:00,"29,3","744,7","761,0","-0,8",37,Wind blowing from the north-northwest,4,,,70 – 80%.,,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,"Altocumulus of a chaotic sky, generally at several levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","13,1",No precipitation,3,,,,
21.06.2018 12:00,"28,8","745,5","761,9","-0,2",42,Wind blowing from the north-northwest,4,,,50%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",1000-1500,"Altocumulus of a chaotic sky, generally at several levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,6",No precipitation,3,,,,
21.06.2018 09:00,"23,2","745,7","762,4","-0,3",63,Wind blowing from the north,5,,,70 – 80%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"Altocumulus of a chaotic sky, generally at several levels.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","15,8",,,,,,
21.06.2018 06:00,"18,4","746,0","763,0","1,0",91,Wind blowing from the east-southeast,2,,,"90 or more, but not 100%",Thunderstorm (with or without precipitation).,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"18,0",,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,"Altocumulus of a chaotic sky, generally at several levels.",,"20,0","16,9",Trace of precipitation,12,,,,
21.06.2018 03:00,"18,6","745,0","761,9","0,0",90,Wind blowing from the west-southwest,3,,,"90 or more, but not 100%","Thunderstorm, but no precipitation at the time of observation.",Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,300-600,"Altocumulus of a chaotic sky, generally at several levels.",,"20,0","16,9",Trace of precipitation,3,,,,
21.06.2018 00:00,"19,7","745,0","761,9","0,1",85,Wind blowing from the west,5,,,"90 or more, but not 100%","Thunderstorm, but no precipitation at the time of observation.",Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,300-600,"Altocumulus of a chaotic sky, generally at several levels.",,"20,0","17,1",No precipitation,3,,,,
20.06.2018 21:00,"22,8","744,9","761,6","0,2",69,Wind blowing from the west-southwest,6,,,70 – 80%.,,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10% or less, but not 0",600-1000,"Altocumulus of a chaotic sky, generally at several levels.",Cirrus spissatus cumulonimbogenitus.,"20,0","16,7",No precipitation,12,,,,
20.06.2018 18:00,"28,0","744,7","761,1","-0,7",49,Wind blowing from the west-southwest,7,,,60%.,,,,,"29,8",Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"Altocumulus of a chaotic sky, generally at several levels.",Cirrus spissatus cumulonimbogenitus.,"20,0","16,2",No precipitation,3,,,,
20.06.2018 15:00,"28,8","745,4","761,8","-0,4",43,Wind blowing from the south-southwest,3,,,60%.,,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,"Altocumulus of a chaotic sky, generally at several levels.",Cirrus spissatus cumulonimbogenitus.,"20,0","15,0",No precipitation,3,,,,
20.06.2018 12:00,"27,2","745,8","762,3","0,5",47,Wind blowing from the west-southwest,5,,,"90 or more, but not 100%",,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,Altocumulus castellanus or floccus.,Cirrus spissatus cumulonimbogenitus.,"20,0","14,8",No precipitation,3,,,,
20.06.2018 09:00,"25,0","745,3","761,8","0,0",63,Wind blowing from the east,4,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","17,5",,,,,,
20.06.2018 06:00,"17,2","745,3","762,4","0,1",93,Wind blowing from the north,1,,,20–30%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"16,3",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","16,1",No precipitation,3,,,,
20.06.2018 03:00,"17,3","745,2","762,2","-0,1",92,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","15,9",No precipitation,3,,,,
20.06.2018 00:00,"19,2","745,3","762,3","0,3",87,Wind blowing from the south-southeast,2,,,no clouds,,,,,,,,,,,"20,0","16,9",No precipitation,3,,,,
19.06.2018 21:00,"23,2","745,0","761,6","0,6",69,variable wind direction,2,,,20–30%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","20,0","17,1",,,,,,
