Local time in Alverca (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.10.2018 15:00,"32,0","763,9","764,2","-1,7",12,Wind blowing from the east-northeast,3,,,no clouds,,,,,,,,,,,"20,0","-0,6",No precipitation,3,,,,
03.10.2018 12:00,"27,9","765,6","765,9","-0,1",18,Wind blowing from the east-northeast,3,,,no clouds,,,,,,,,,,,"20,0","1,1",No precipitation,3,,,,
03.10.2018 09:00,"22,5","765,7","766,0",,27,Wind blowing from the north-east,5,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"20,0","2,5",No precipitation,3,,,,
02.10.2018 15:00,"31,5","763,1","763,4","-1,2",17,Wind blowing from the north-east,3,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","3,8",No precipitation,3,,,,
02.10.2018 12:00,"27,2","764,3","764,6","-0,4",24,Wind blowing from the north-east,4,,9,"10% or less, but not 0",Clouds generally dissolving or becoming less developed.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,0",No precipitation,3,,,,
02.10.2018 09:00,"21,8","764,7","765,0",,28,Wind blowing from the north-east,6,9,9,20–30%.,State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","2,6",No precipitation,3,,,,
01.10.2018 15:00,"29,6","762,5","762,8","-1,2",33,Wind blowing from the north-northwest,4,,,no clouds,,,,,,,,,,,"20,0","11,5",No precipitation,3,,,,
01.10.2018 12:00,"28,0","763,7","764,0","-0,6",45,Wind blowing from the south,2,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"20,0","15,0",No precipitation,3,,,,
01.10.2018 09:00,"19,2","764,3","764,6",,82,Wind blowing from the south,1,,,no clouds,Clouds generally dissolving or becoming less developed.,,,,,,,,,,"20,0","16,1",No precipitation,3,,,,
28.09.2018 15:00,"32,7","762,2","762,4","-1,9",35,Wind blowing from the north,2,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",1000-1500,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","20,0","15,1",No precipitation,3,,,,
28.09.2018 12:00,"30,2","764,1","764,3","-1,0",40,Wind blowing from the east-northeast,3,,,"10% or less, but not 0",State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","20,0","15,1",No precipitation,3,,,,
28.09.2018 09:00,"25,7","765,1","765,4",,58,Wind blowing from the east-northeast,3,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"15,0","16,9",No precipitation,3,,,,
27.09.2018 15:00,"32,3","766,3","766,6","-1,8",36,Wind blowing from the east-northeast,3,,,20–30%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","15,5",No precipitation,3,,,,
27.09.2018 12:00,"29,7","768,1","768,4","-0,8",45,Wind blowing from the north,2,,,20–30%.,State of sky on the whole unchanged.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","16,5",No precipitation,3,,,,
27.09.2018 09:00,"24,5","768,9","769,1",,59,Wind blowing from the north-east,4,,,"10% or less, but not 0",State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","15,9",No precipitation,3,,,,
26.09.2018 15:00,"33,5","764,9","765,2","-1,4",34,Wind blowing from the south,2,,,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","15,4",No precipitation,3,,,,
26.09.2018 12:00,"29,2","766,3","766,6","0,0",48,Wind blowing from the north-northeast,2,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"15,0","17,2",No precipitation,3,,,,
26.09.2018 09:00,"21,9","766,3","766,6",,68,Wind blowing from the east-northeast,3,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"15,0","15,6",No precipitation,3,,,,
25.09.2018 15:00,"31,7","762,7","763,0","-1,2",39,Wind blowing from the south-southwest,5,,,no clouds,,,,,,,,,,,"20,0","15,9",No precipitation,3,,,,
25.09.2018 12:00,"29,4","763,9","764,2","0,0",41,Wind blowing from the east-southeast,1,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"20,0","14,8",No precipitation,3,,,,
25.09.2018 09:00,"24,6","763,9","764,2",,58,Wind blowing from the east-northeast,4,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"15,0","15,7",No precipitation,3,,,,
22.09.2018 15:00,"35,5","764,4","764,7","-1,2",23,Wind blowing from the north-east,2,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","11,1",No precipitation,3,,,,
22.09.2018 12:00,"29,5","765,6","765,9","-0,5",43,Wind blowing from the east-northeast,3,,,20–30%.,State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","15,5",No precipitation,3,,,,
22.09.2018 09:00,"20,0","766,1","766,4",,81,Wind blowing from the east-northeast,2,,,"10% or less, but not 0",Clouds generally forming or developing.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","16,7",No precipitation,3,,,,
21.09.2018 15:00,"29,1","763,8","764,1","-1,0",41,Wind blowing from the north,5,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,5",No precipitation,3,,,,
21.09.2018 12:00,"28,0","764,8","765,1","-0,4",48,Wind blowing from the north,6,,,20–30%.,Clouds generally forming or developing.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","15,9",No precipitation,3,,,,
21.09.2018 09:00,"23,2","765,2","765,5",,64,Wind blowing from the north,4,,,"10% or less, but not 0",Clouds generally forming or developing.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","16,0",No precipitation,3,,,,
20.09.2018 15:00,"28,7","763,5","763,8","-1,3",40,Wind blowing from the north,5,,,no clouds,,,,,,,,,,,"20,0","13,6",No precipitation,3,,,,
20.09.2018 12:00,"26,5","764,8","765,1","-0,3",46,Wind blowing from the north,5,,,no clouds,Clouds generally dissolving or becoming less developed.,,,,,,,,,,"20,0","14,1",No precipitation,3,,,,
20.09.2018 09:00,"21,1","765,1","765,4",,72,Wind blowing from the south-east,2,,,20–30%.,State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","15,8",No precipitation,3,,,,
19.09.2018 15:00,"30,6","763,7","764,0","-1,1",35,Wind blowing from the south,3,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","13,6",No precipitation,3,,,,
19.09.2018 12:00,"27,2","764,8","765,1","-0,5",44,Wind blowing from the east,4,,,40%.,State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","13,9",No precipitation,3,,,,
19.09.2018 09:00,"19,8","765,3","765,6",,71,Wind blowing from the north,1,,,20–30%.,Clouds generally forming or developing.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","15,0","14,3",No precipitation,3,,,,
18.09.2018 15:00,"29,7","761,9","762,2","-0,7",37,Wind blowing from the west-northwest,4,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","13,4",No precipitation,3,,,,
18.09.2018 12:00,"26,7","762,6","762,9","-0,4",56,Wind blowing from the south,3,,,"10% or less, but not 0",State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","17,1",No precipitation,3,,,,
18.09.2018 09:00,"21,3","763,0","763,2",,71,Wind blowing from the south,2,,,"10% or less, but not 0",State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","15,8",No precipitation,3,,,,
17.09.2018 15:00,"30,8","760,0","760,3","-1,5",42,Wind blowing from the south,5,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","20,0","16,5",No precipitation,3,,,,
17.09.2018 12:00,"27,6","761,5","761,8","-0,6",40,Wind blowing from the south,3,,,20–30%.,Clouds generally dissolving or becoming less developed.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","15,0","12,6",No precipitation,3,,,,
17.09.2018 09:00,"21,6","762,1","762,4",,80,Wind blowing from the south-southeast,2,,,40%.,State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.","15,0","18,0",No precipitation,3,,,,
14.09.2018 15:00,"29,8","761,8","762,1","-1,3",48,Wind blowing from the south,4,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","17,6",No precipitation,3,,,,
14.09.2018 12:00,"26,3","763,1","763,4","-0,3",58,Wind blowing from the south-southeast,2,,,"10% or less, but not 0",State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","17,5",No precipitation,3,,,,
14.09.2018 09:00,"21,3","763,4","763,7",,73,Wind blowing from the south,2,,,"10% or less, but not 0",State of sky on the whole unchanged.,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","16,3",No precipitation,3,,,,
13.09.2018 15:00,"32,7","762,4","762,7","-1,5",34,Wind blowing from the west-northwest,5,,,no clouds,,,,,,,,,,,"20,0","14,9",No precipitation,3,,,,
13.09.2018 12:00,"29,6","763,9","764,1","-0,4",40,Wind blowing from the south-southeast,2,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"20,0","14,5",No precipitation,3,,,,
13.09.2018 09:00,"22,2","764,3","764,6",,56,Wind blowing from the south,2,,,20–30%.,State of sky on the whole unchanged.,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","20,0","13,0",No precipitation,3,,,,
11.09.2018 15:00,"34,7","762,5","762,8","-1,8",28,Wind blowing from the north-east,4,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","13,6",No precipitation,3,,,,
11.09.2018 12:00,"31,5","764,3","764,6","-0,8",36,Wind blowing from the north-east,3,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"20,0","14,7",No precipitation,3,,,,
11.09.2018 09:00,"25,9","765,1","765,4",,44,Wind blowing from the north-east,5,,,no clouds,Clouds generally dissolving or becoming less developed.,,,,,,,,,,"15,0","12,8",No precipitation,3,,,,
10.09.2018 15:00,"33,5","763,9","764,2","-1,7",24,Wind blowing from the north-east,4,,,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","10,3",No precipitation,3,,,,
10.09.2018 12:00,"29,2","765,6","765,9","-0,4",42,Wind blowing from the east-northeast,4,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"15,0","14,9",No precipitation,3,,,,
10.09.2018 09:00,"20,2","766,0","766,3",,77,Wind blowing from the east-northeast,3,,,no clouds,Cloud development not observed or not observable.,,,,,,,,,,"15,0","16,0",No precipitation,3,,,,
07.09.2018 15:00,"27,5","758,3","758,5","-1,5",45,Wind blowing from the south,3,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","12,0","14,5",No precipitation,3,,,,
07.09.2018 12:00,"21,6","759,8","760,1","-0,6",73,Wind blowing from the south-east,2,,,40%.,Clouds generally dissolving or becoming less developed.,Fog or ice fog or thick haze.,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","16,5",No precipitation,3,,,,
07.09.2018 09:00,"16,9","760,4","760,7",,93,Wind blowing from the east-northeast,2,,,"90 or more, but not 100%",Fog or ice fog in patches.,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",200-300,,,"3,0","15,8",No precipitation,3,,,,
06.09.2018 15:00,"22,7","760,6","760,9","-0,9",68,Wind blowing from the south-southwest,5,,,60%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","16,4",No precipitation,3,,,,
06.09.2018 12:00,"20,6","761,5","761,8","-0,2",74,Wind blowing from the south,3,,,100%.,State of sky on the whole unchanged.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,300-600,,,"10,0","15,8",No precipitation,3,,,,
06.09.2018 09:00,"19,0","761,7","762,0",,81,Wind blowing from the west-northwest,2,,,100%.,State of sky on the whole unchanged.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,300-600,,,"10,0","15,7",No precipitation,3,,,,
05.09.2018 15:00,"25,3","761,2","761,5","-0,6",52,Wind blowing from the north-west,5,,9,40%.,,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","14,6",No precipitation,3,,,,
05.09.2018 12:00,"24,4","761,8","762,1","0,0",62,Wind blowing from the west,2,,,70 – 80%.,State of sky on the whole unchanged.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","12,0","16,7",No precipitation,3,,,,
05.09.2018 09:00,"21,4","761,8","762,1",,72,Wind blowing from the north-northwest,3,,,"90 or more, but not 100%",State of sky on the whole unchanged.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,Altocumulus translucidus at a single level.,,"12,0","16,1",No precipitation,3,,,,
04.09.2018 18:00,"25,5","758,6","758,9",,61,Wind blowing from the south-southwest,6,,,70 – 80%.,,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","15,0","17,3",No precipitation,3,,,,
04.09.2018 15:00,"25,5","758,6","758,9","-0,5",61,Wind blowing from the south-southwest,6,,,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","15,0","17,3",No precipitation,3,,,,
04.09.2018 12:00,"24,2","759,1","759,4","-0,3",64,Wind blowing from the south-southwest,4,,,"90 or more, but not 100%","Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",Rain.,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,Altocumulus translucidus at a single level.,,"12,0","16,9",Trace of precipitation,6,,,,
04.09.2018 09:00,"21,1","759,4","759,7",,85,Wind blowing from the south-southeast,2,,,100%.,Mist.,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,200-300,,,"10,0","18,4",No precipitation,3,,,,
03.09.2018 15:00,"25,8","758,5","758,8","-0,8",50,Wind blowing from the south-southwest,4,,,40%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","14,7",No precipitation,3,,,,
03.09.2018 12:00,"24,4","759,3","759,6","0,1",58,Wind blowing from the south,5,,,"90 or more, but not 100%",State of sky on the whole unchanged.,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90 or more, but not 100%",600-1000,,,"15,0","15,6",No precipitation,3,,,,
03.09.2018 09:00,"21,5","759,2","759,5",,67,Wind blowing from the west-southwest,4,,,"90 or more, but not 100%",State of sky on the whole unchanged.,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90 or more, but not 100%",600-1000,,,"15,0","15,0",No precipitation,3,,,,
31.08.2018 15:00,"35,8","759,8","760,1","-1,4",29,Wind blowing from the south-east,2,,,no clouds,,,,,,,,,,,"20,0","15,0",No precipitation,3,,,,
31.08.2018 12:00,"29,8","761,2","761,5","-0,8",43,Wind blowing from the east,3,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"20,0","15,8",No precipitation,3,,,,
31.08.2018 09:00,"21,3","762,0","762,2",,68,Wind blowing from the east-northeast,2,,,no clouds,Clouds generally dissolving or becoming less developed.,,,,,,,,,,"15,0","15,2",No precipitation,3,,,,
30.08.2018 15:00,"30,6","761,9","762,2","-1,1",40,Wind blowing from the north-west,5,,8,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","15,6",No precipitation,3,,,,
30.08.2018 12:00,"28,2","763,0","763,3","-0,5",44,Wind blowing from the north-northeast,3,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"15,0","14,9",No precipitation,3,,,,
30.08.2018 09:00,"22,0","763,5","763,8",,63,Wind blowing from the north-northwest,3,,,no clouds,State of sky on the whole unchanged.,,,,,,,,,,"15,0","14,7",No precipitation,3,,,,
29.08.2018 15:00,"26,4","763,6","763,9","-0,8",41,Wind blowing from the north,6,,11,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","12,2",No precipitation,3,,,,
29.08.2018 12:00,"25,1","764,4","764,7","-0,5",44,Wind blowing from the north,5,,10,40%.,Clouds generally forming or developing.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","15,0","12,0",No precipitation,3,,,,
29.08.2018 09:00,"19,6","764,9","765,2",,69,Wind blowing from the north,6,,10,60%.,State of sky on the whole unchanged.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","13,7",No precipitation,3,,,,
28.08.2018 15:00,"23,9","762,6","762,9","-0,1",65,Wind blowing from the north,4,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",600-1000,,,"15,0","16,8",No precipitation,3,,,,
28.08.2018 12:00,"23,7","762,7","763,0","0,9",66,Wind blowing from the north-northeast,2,,,"90 or more, but not 100%",State of sky on the whole unchanged.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"15,0","16,9",No precipitation,3,,,,
28.08.2018 09:00,"20,5","761,8","762,0",,77,Wind blowing from the north,4,,,"90 or more, but not 100%",State of sky on the whole unchanged.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"15,0","16,4",No precipitation,3,,,,
27.08.2018 15:00,"28,9","757,9","758,1","0,0",43,Wind blowing from the east,2,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","15,1",No precipitation,3,,,,
27.08.2018 12:00,"25,5","757,9","758,2","-0,9",58,Wind blowing from the north,1,,,"90 or more, but not 100%",Drizzle (not freezing) or snow grains not falling as shower(s).,Rain.,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","16,6",Trace of precipitation,6,,,,
27.08.2018 09:00,"20,1","758,8","759,1",,77,Wind blowing from the east-northeast,3,,,50%.,Clouds generally forming or developing.,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","12,0","16,0",No precipitation,3,,,,
24.08.2018 15:00,"33,8","761,8","762,1","-1,3",28,Wind blowing from the north,5,,9,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","12,7",No precipitation,3,,,,
24.08.2018 12:00,"27,6","763,1","763,4","-0,5",58,Wind blowing from the south,3,,,"10% or less, but not 0",State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","18,6",No precipitation,3,,,,
24.08.2018 09:00,"21,9","763,6","763,9",,78,Wind blowing from the south-southeast,2,,,"10% or less, but not 0",Mist.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","17,9",No precipitation,3,,,,
23.08.2018 15:00,"34,6","762,1","762,4","-0,6",24,Wind blowing from the north,5,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","11,5",No precipitation,3,,,,
23.08.2018 12:00,"30,7","762,7","763,0","-0,3",42,Wind blowing from the south-southeast,2,,,40%.,State of sky on the whole unchanged.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","15,0","16,2",No precipitation,3,,,,
