Local time in Penhas Douradas,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
12.05.2018 23:00,"0,1","649,6",,"1,5",94,Wind blowing from the west-northwest,6,,,,,,,,,,,,,,,"-0,8",No precipitation,1,,,,
12.05.2018 22:00,"0,2","649,4",,"1,3",94,Wind blowing from the west-northwest,4,,,,,,,,,,,,,,,"-0,6",No precipitation,1,,,,
12.05.2018 21:00,"0,8","648,8",,"1,0",91,Wind blowing from the west-northwest,9,,,,,,,,,,,,,,,"-0,5",,,,,,
12.05.2018 20:00,"1,7","648,1",,"0,3",80,Wind blowing from the west-northwest,11,,,,,,,,,,,,,,,"-1,4",No precipitation,1,,,,
12.05.2018 19:00,"3,0","648,1",,"0,3",71,Wind blowing from the west-northwest,8,,,,,,,,,,,,,,,"-1,8",No precipitation,1,,,,
12.05.2018 18:00,"3,9","647,8",,"0,2",65,Wind blowing from the west-northwest,11,,,,,,,,"10,4",,,,,,,"-2,2","0,2",12,,,,
12.05.2018 17:00,"4,4","647,8",,"-0,3",64,Wind blowing from the west-northwest,11,,,,,,,,,,,,,,,"-1,8",No precipitation,1,,,,
12.05.2018 16:00,"4,8","647,8",,"-0,3",64,Wind blowing from the west-northwest,10,,,,,,,,,,,,,,,"-1,6",No precipitation,1,,,,
12.05.2018 15:00,"5,9","647,6",,"-0,5",60,Wind blowing from the west-northwest,13,,,,,,,,,,,,,,,"-1,3",,,,,,
12.05.2018 14:00,"5,9","648,1",,"0,0",63,Wind blowing from the west-northwest,9,,,,,,,,,,,,,,,"-0,6",No precipitation,1,,,,
12.05.2018 13:00,"3,8","648,1",,"0,4",84,Wind blowing from the west-northwest,8,,,,,,,,,,,,,,,"1,3",No precipitation,1,,,,
12.05.2018 12:00,"4,8","648,1",,"0,5",75,Wind blowing from the west-northwest,8,,,,,,,,,,,,,,,"0,6","0,2",6,,,,
12.05.2018 11:00,"3,1","648,1",,"0,9",93,Wind blowing from the west-northwest,8,,,,,,,,,,,,,,,"2,0","0,1",1,,,,
12.05.2018 10:00,"2,4","647,7",,"0,6",95,Wind blowing from the west-northwest,10,,,,,,,,,,,,,,,"1,6","0,1",1,,,,
12.05.2018 09:00,"1,5","647,6",,"0,6",98,Wind blowing from the west-northwest,7,,,,,,,,,,,,,,,"1,2",,,,,,
12.05.2018 08:00,"1,5","647,2",,"0,8",97,Wind blowing from the west-northwest,8,,,,,,,,,,,,,,,"1,0",No precipitation,1,,,,
12.05.2018 07:00,"0,7","647,1",,"1,1",94,Wind blowing from the west-northwest,7,,,,,,,,,,,,,,,"-0,1",No precipitation,1,,,,
12.05.2018 06:00,"-0,3","647,0",,"1,0",98,Wind blowing from the west,7,,,,,,,"-0,4",,,,,,,,"-0,6","0,4",12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
12.05.2018 05:00,"0,5","646,4",,"-0,2",99,Wind blowing from the west-northwest,10,,,,,,,,,,,,,,,"0,4",No precipitation,1,,,,
12.05.2018 04:00,"2,4","646,0",,"-1,1",99,Wind blowing from the west-northwest,14,,,,,,,,,,,,,,,"2,3",No precipitation,1,,,,
12.05.2018 03:00,"4,1","646,0",,"-1,5",99,Wind blowing from the west,11,,,,,,,,,,,,,,,"4,0",,,,,,
12.05.2018 02:00,"5,1","646,6",,"-1,3",99,Wind blowing from the west,7,,,,,,,,,,,,,,,"4,9","0,1",1,,,,
12.05.2018 01:00,"6,7","647,1",,"-0,7",99,Wind blowing from the west-southwest,5,,,,,,,,,,,,,,,"6,6","0,2",1,,,,
12.05.2018 00:00,"7,1","647,5",,"-0,4",99,Wind blowing from the west,5,,,,,,,,,,,,,,,"7,0","0,1",6,,,,
11.05.2018 23:00,"7,2","647,9",,"0,1",99,Wind blowing from the west,5,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
11.05.2018 22:00,"7,8","647,8",,"0,3",95,Wind blowing from the west,10,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
11.05.2018 21:00,"7,6","647,9",,"0,4",90,Wind blowing from the west,11,,,,,,,,,,,,,,,"6,1",,,,,,
11.05.2018 20:00,"7,8","647,8",,"0,2",67,Wind blowing from the west,8,,,,,,,,,,,,,,,"2,0",No precipitation,1,,,,
11.05.2018 19:00,"7,9","647,5",,"-0,3",88,Wind blowing from the west,10,,,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
11.05.2018 18:00,"9,9","647,5",,"-0,3",75,Wind blowing from the west,9,,,,,,,,"18,1",,,,,,,"5,6",No precipitation,12,,,,
11.05.2018 17:00,"11,5","647,6",,"-0,5",54,Wind blowing from the west,10,,,,,,,,,,,,,,,"2,5",No precipitation,1,,,,
11.05.2018 16:00,"13,0","647,8",,"-0,3",54,Wind blowing from the west,7,,,,,,,,,,,,,,,"3,8",No precipitation,1,,,,
11.05.2018 15:00,"14,1","647,8",,"-0,5",61,Wind blowing from the west,6,,,,,,,,,,,,,,,"6,7",,,,,,
11.05.2018 14:00,"15,1","648,1",,"-0,2",56,Wind blowing from the west,5,,,"90 or more, but not 100%",,,,,,Stratocumulus cumulogenitus.,20–30%.,200-300,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","30,0","6,4",No precipitation,1,,,,
11.05.2018 13:00,"17,3","648,1",,"0,0",48,Wind blowing from the east,3,,,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
11.05.2018 12:00,"17,0","648,3",,"0,5",39,Wind blowing from the south-west,2,,,"90 or more, but not 100%",,,,,,Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","30,0","3,0",No precipitation,1,,,,
11.05.2018 11:00,"16,0","648,3",,"0,8",46,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
11.05.2018 10:00,"14,7","648,1",,"0,8",65,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"8,2",No precipitation,1,,,,
11.05.2018 09:00,"13,8","647,8",,"0,6",78,Wind blowing from the east-southeast,2,,,"90 or more, but not 100%",,,,,,Stratocumulus cumulogenitus.,20–30%.,200-300,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","25,0","9,9",,,,,,
11.05.2018 08:00,"12,5","647,5",,"0,3",75,Wind blowing from the north,1,,,,,,,,,,,,,,,"8,1",No precipitation,1,,,,
11.05.2018 07:00,"11,4","647,3",,"0,3",68,Wind blowing from the west,1,,,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
11.05.2018 06:00,"10,3","647,2",,"0,1",70,Wind blowing from the east-northeast,1,,,,,,,"8,9",,,,,,,,"5,0",No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
11.05.2018 05:00,"9,8","647,2",,"-0,1",72,Wind blowing from the west,3,,,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
11.05.2018 04:00,"9,8","647,0",,"-0,6",71,Wind blowing from the south-southwest,3,,,,,,,,,,,,,,,"4,8",No precipitation,1,,,,
11.05.2018 03:00,"10,9","647,1",,"-0,8",76,Wind blowing from the south-west,4,,,,,,,,,,,,,,,"6,8",,,,,,
11.05.2018 02:00,"10,9","647,3",,"-0,8",59,Wind blowing from the south-west,3,,,,,,,,,,,,,,,"3,1",No precipitation,1,,,,
11.05.2018 01:00,"11,3","647,6",,"-0,5",66,Wind blowing from the south-southwest,3,,,,,,,,,,,,,,,"5,2",No precipitation,1,,,,
11.05.2018 00:00,"10,8","647,9",,,79,Wind blowing from the south,2,,,,,,,,,,,,,,,"7,3",No precipitation,6,,,,
10.05.2018 23:00,"11,9","648,1",,"0,3",73,Wind blowing from the west-southwest,2,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
10.05.2018 22:00,"11,4","648,1",,"0,6",69,Wind blowing from the west,1,,,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
10.05.2018 20:00,"13,0","647,8",,"0,6",66,Wind blowing from the west,3,,,,,,,,,,,,,,,"6,7",No precipitation,1,,,,
10.05.2018 19:00,"14,1","647,5",,"0,3",55,Wind blowing from the west-northwest,4,,,,,,,,,,,,,,,"5,1",No precipitation,1,,,,
10.05.2018 18:00,"15,3","647,2",,"-0,2",59,Wind blowing from the east,2,,,,,,,,"18,0",,,,,,,"7,2",No precipitation,12,,,,
10.05.2018 17:00,"16,4","647,2",,"-0,5",51,Wind blowing from the east,3,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
10.05.2018 16:00,"17,3","647,2",,"-0,1",45,Wind blowing from the east,3,,,,,,,,,,,,,,,"5,1",No precipitation,1,,,,
10.05.2018 15:00,"17,3","647,4",,"-0,3",43,Wind blowing from the east-southeast,3,,,,,,,,,,,,,,,"4,6",,,,,,
10.05.2018 14:00,"17,2","647,7",,"0,2",45,Wind blowing from the east-southeast,3,,,20–30%.,,,,,,Stratocumulus cumulogenitus.,20–30%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","30,0","5,1",No precipitation,1,,,,
10.05.2018 13:00,"17,6","647,3",,"0,1",46,Wind blowing from the east-southeast,5,,,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
10.05.2018 12:00,"15,9","647,7",,"0,8",51,Wind blowing from the east-southeast,3,,,20–30%.,,,,,,Stratocumulus cumulogenitus.,20–30%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","30,0","5,6",No precipitation,1,,,,
10.05.2018 11:00,"13,9","647,5",,"0,6",60,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
10.05.2018 10:00,"12,8","647,2",,"0,5",68,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
10.05.2018 09:00,"10,7","646,9",,"0,5",77,Wind blowing from the south-east,4,,,40%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,50-100,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","30,0","6,8",,,,,,
10.05.2018 08:00,"7,7","646,9",,"0,6",89,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"5,9",No precipitation,1,,,,
10.05.2018 07:00,"7,0","646,7",,"0,7",87,Wind blowing from the east,2,,,,,,,,,,,,,,,"5,0",No precipitation,1,,,,
10.05.2018 06:00,"6,1","646,4",,"0,7",74,Wind blowing from the east,4,,,,,,,"5,5",,,,,,,,"1,8",No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
10.05.2018 05:00,"5,8","646,3",,"0,5",70,Wind blowing from the east-southeast,3,,,,,,,,,,,,,,,"0,6",No precipitation,1,,,,
10.05.2018 04:00,"7,3","646,0",,"0,3",59,Wind blowing from the north-northeast,4,,,,,,,,,,,,,,,"-0,2",No precipitation,1,,,,
10.05.2018 03:00,"6,7","645,7",,"-0,2",56,Wind blowing from the west,6,,,,,,,,,,,,,,,"-1,6",,,,,,
10.05.2018 02:00,"6,3","645,8",,"0,0",66,Wind blowing from the west,5,,,,,,,,,,,,,,,"0,3",No precipitation,1,,,,
10.05.2018 01:00,"6,4","645,7",,"0,0",86,Wind blowing from the west,5,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
10.05.2018 00:00,"7,2","645,9",,"0,2",80,Wind blowing from the west,6,,,,,,,,,,,,,,,"4,0",No precipitation,6,,,,
09.05.2018 23:00,"7,9","645,8",,"0,7",84,Wind blowing from the west-northwest,10,,,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
09.05.2018 22:00,"6,5","645,7",,"0,8",97,Wind blowing from the west,11,,,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
09.05.2018 21:00,"8,2","645,7",,"0,7",58,Wind blowing from the west,8,,,,,,,,,,,,,,,"0,3",,,,,,
09.05.2018 20:00,"9,0","645,1",,"-0,2",41,Wind blowing from the west,12,,,,,,,,,,,,,,,"-3,7",No precipitation,1,,,,
09.05.2018 19:00,"8,8","644,9",,"-0,2",55,Wind blowing from the west,13,,,,,,,,,,,,,,,"0,2",No precipitation,1,,,,
09.05.2018 18:00,"9,1","645,0",,"-0,3",74,Wind blowing from the west,12,,,,,,,,"16,1",,,,,,,"4,6",No precipitation,12,,,,
09.05.2018 17:00,"8,3","645,3",,"-0,1",95,Wind blowing from the west,10,,,,,,,,,,,,,,,"7,5",No precipitation,1,,,,
09.05.2018 16:00,"11,2","645,1",,"-0,4",81,Wind blowing from the west-northwest,8,,,,,,,,,,,,,,,"8,1",No precipitation,1,,,,
09.05.2018 15:00,"12,6","645,3",,"-0,4",83,Wind blowing from the west-northwest,7,,,,,,,,,,,,,,,"9,7",,,,,,
09.05.2018 14:00,"13,5","645,4",,"-0,2",69,Wind blowing from the west-northwest,8,,,"90 or more, but not 100%",,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,50-100,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","30,0","7,8",No precipitation,1,,,,
09.05.2018 13:00,"14,0","645,5",,"-0,1",58,Wind blowing from the west-northwest,9,,,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
09.05.2018 12:00,"13,9","645,7",,"0,2",54,Wind blowing from the west-northwest,7,,,70 – 80%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,50-100,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","30,0","4,6",No precipitation,1,,,,
09.05.2018 11:00,"14,5","645,6",,"0,2",49,Wind blowing from the west-northwest,7,,,,,,,,,,,,,,,"3,7",No precipitation,1,,,,
09.05.2018 10:00,"14,6","645,6",,"0,3",50,Wind blowing from the west,8,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
09.05.2018 09:00,"14,3","645,5",,"0,6",46,Wind blowing from the west,6,,,70 – 80%.,,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,50-100,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","30,0","2,8",,,,,,
09.05.2018 08:00,"12,8","645,4",,"0,6",62,Wind blowing from the west,5,,,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
09.05.2018 07:00,"12,0","645,3",,"0,2",58,Wind blowing from the west,4,,,,,,,,,,,,,,,"3,9",No precipitation,1,,,,
09.05.2018 06:00,"10,4","644,9",,"-0,4",65,Wind blowing from the west,8,,,,,,,"9,4",,,,,,,,"4,0",No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
09.05.2018 05:00,"10,9","644,8",,"-0,6",54,Wind blowing from the west,8,,,,,,,,,,,,,,,"1,8",No precipitation,1,,,,
09.05.2018 04:00,"10,7","645,1",,"-0,7",50,Wind blowing from the west-northwest,3,,,,,,,,,,,,,,,"0,6",No precipitation,1,,,,
09.05.2018 03:00,"11,4","645,3",,"-0,9",51,Wind blowing from the west-northwest,6,,,,,,,,,,,,,,,"1,5",,,,,,
09.05.2018 02:00,"10,9","645,4",,"-0,9",54,Wind blowing from the west-northwest,6,,,,,,,,,,,,,,,"1,8",No precipitation,1,,,,
09.05.2018 01:00,"10,1","645,8",,"-0,5",59,Wind blowing from the west-northwest,6,,,,,,,,,,,,,,,"2,3",No precipitation,1,,,,
09.05.2018 00:00,"10,3","646,2",,"-0,1",74,Wind blowing from the west-northwest,5,,,,,,,,,,,,,,,"5,9",No precipitation,6,,,,
08.05.2018 23:00,"10,8","646,3",,"0,2",90,Wind blowing from the west-northwest,4,,,,,,,,,,,,,,,"9,2",No precipitation,1,,,,
08.05.2018 22:00,"11,6","646,3",,"0,6",86,Wind blowing from the west-northwest,4,,,,,,,,,,,,,,,"9,4",No precipitation,1,,,,
08.05.2018 21:00,"11,9","646,3",,"0,6",88,Wind blowing from the west-northwest,6,,,,,,,,,,,,,,,"10,0",,,,,,
08.05.2018 20:00,"11,5","646,1",,"0,1",96,Wind blowing from the west-northwest,8,,,,,,,,,,,,,,,"10,8",No precipitation,1,,,,
08.05.2018 19:00,"12,1","645,7",,"-0,3",87,Wind blowing from the west,9,,,,,,,,,,,,,,,"9,9",No precipitation,1,,,,
08.05.2018 18:00,"13,4","645,7",,"-0,3",80,Wind blowing from the west-northwest,8,,,,,,,,"18,8",,,,,,,"10,0",No precipitation,12,,,,
08.05.2018 17:00,"15,4","646,0",,"-0,4",71,Wind blowing from the west-northwest,6,,,,,,,,,,,,,,,"10,2",No precipitation,1,,,,
08.05.2018 16:00,"16,2","646,0",,"-0,6",67,Wind blowing from the west-northwest,5,,,,,,,,,,,,,,,"10,0",No precipitation,1,,,,
08.05.2018 15:00,"15,9","646,0",,"-0,6",69,Wind blowing from the west-northwest,6,,,,,,,,,,,,,,,"10,2",,,,,,
08.05.2018 14:00,"15,8","646,4",,"-0,5",72,Wind blowing from the west-northwest,5,,,60%.,,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.",Cirrus spissatus cumulonimbogenitus.,"30,0","10,7",No precipitation,1,,,,
08.05.2018 13:00,"17,2","646,6",,"-0,3",67,Wind blowing from the west-northwest,5,,,,,,,,,,,,,,,"10,9",No precipitation,1,,,,
08.05.2018 12:00,"17,1","646,6",,"-0,2",61,Wind blowing from the north-west,3,,,60%.,,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",60%.,50-100,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","30,0","9,5",No precipitation,1,,,,
08.05.2018 11:00,"16,9","646,9",,"0,2",61,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"9,3",No precipitation,1,,,,
08.05.2018 10:00,"17,3","646,9",,"0,4",67,Wind blowing from the east-southeast,3,,,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
08.05.2018 09:00,"16,7","646,8",,"0,4",63,Wind blowing from the north-northeast,2,,,50%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,200-300,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","9,5",,,,,,
08.05.2018 08:00,"14,0","646,7",,"0,7",66,Wind blowing from the west-northwest,3,,,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
08.05.2018 07:00,"13,5","646,5",,"0,4",68,Wind blowing from the west-northwest,3,,,,,,,,,,,,,,,"7,6",No precipitation,1,,,,
08.05.2018 06:00,"13,1","646,4",,"0,0",66,Wind blowing from the west,5,,,,,,,"9,7",,,,,,,,"6,8",2,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
08.05.2018 05:00,"12,2","646,0",,"-0,6",73,Wind blowing from the west,8,,,,,,,,,,,,,,,"7,5",No precipitation,1,,,,
08.05.2018 04:00,"11,8","646,1",,"-0,8",72,Wind blowing from the west-northwest,9,,,,,,,,,,,,,,,"6,9",No precipitation,1,,,,
08.05.2018 03:00,"11,8","646,4",,"-1,0",76,Wind blowing from the west,10,,,,,,,,,,,,,,,"7,6",,,,,,
08.05.2018 02:00,"11,8","646,6",,"-0,9",76,Wind blowing from the west-northwest,10,,,,,,,,,,,,,,,"7,7",No precipitation,1,,,,
08.05.2018 01:00,"12,1","646,9",,"-0,7",80,Wind blowing from the west,9,,,,,,,,,,,,,,,"8,7","0,1",1,,,,
08.05.2018 00:00,"12,5","647,4",,"-0,3",78,Wind blowing from the west,8,,,,,,,,,,,,,,,"8,7",2,6,,,,
07.05.2018 23:00,"12,8","647,5",,,78,Wind blowing from the west,8,,,,,,,,,,,,,,,"9,1",No precipitation,1,,,,
07.05.2018 22:00,"12,1","647,6",,"0,0",79,Wind blowing from the west,9,,,,,,,,,,,,,,,"8,5",No precipitation,1,,,,
07.05.2018 21:00,"12,2","647,7",,"0,4",77,Wind blowing from the west,9,,,,,,,,,,,,,,,"8,3",,,,,,
07.05.2018 20:00,"10,8","647,8",,"0,6",91,Wind blowing from the west-southwest,4,,,,,,,,,,,,,,,"9,3",2,1,,,,
07.05.2018 19:00,"11,9","647,6",,"0,5",76,Wind blowing from the west,6,,,,,,,,,,,,,,,"7,7","0,2",1,,,,
07.05.2018 18:00,"11,5","647,3",,"0,4",81,Wind blowing from the west,8,,,,,,,,"19,4",,,,,,,"8,4",35,12,,,,
07.05.2018 17:00,"11,3","647,2",,"-0,4",80,Wind blowing from the west,10,,,,,,,,,,,,,,,"8,0",20,1,,,,
07.05.2018 16:00,"14,7","647,1",,"-0,8",77,Wind blowing from the west,6,,,,,,,,,,,,,,,"10,6",No precipitation,1,,,,
07.05.2018 15:00,"15,4","646,9",,"-1,2",66,Wind blowing from the west-northwest,6,,,,,,,,,,,,,,,"9,0",,,,,,
07.05.2018 14:00,"16,4","647,6",,"-0,6",69,Wind blowing from the west-northwest,3,,,"90 or more, but not 100%","Thunderstorm, slight or moderate, with hail at time of observation.",Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","90 or more, but not 100%",200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","30,0","10,6","0,1",1,,,,
07.05.2018 13:00,"9,0","647,9",,"-0,3",97,Wind blowing from the west-southwest,4,,,,,,,,,,,,,,,"8,5",12,1,,,,
07.05.2018 12:00,"13,6","648,1",,"0,0",81,Wind blowing from the north-west,4,,,"90 or more, but not 100%","Rain shower(s), slight.",Shower(s).,"Sandstorm, duststorm or blowing snow.",,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","90 or more, but not 100%",200-300,"No Altocumulus, Altostratus or Nimbostratus.",Cirrus spissatus cumulonimbogenitus.,"10,0","10,3","0,2",6,,,,
07.05.2018 11:00,"17,4","648,2",,"0,2",56,Wind blowing from the west,2,,,,,,,,,,,,,,,"8,6",No precipitation,1,,,,
07.05.2018 10:00,"17,6","648,2",,"0,2",50,Wind blowing from the east-southeast,3,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
07.05.2018 09:00,"16,3","648,1",,"0,3",54,Wind blowing from the east-southeast,3,,,70 – 80%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","30,0","6,9",,,,,,
07.05.2018 08:00,"15,0","648,0",,"0,6",58,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
07.05.2018 07:00,"13,0","648,0",,"0,6",66,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
07.05.2018 06:00,"11,0","647,8",,"0,3",78,Wind blowing from the south-east,3,,,,,,,"9,6",,,,,,,,"7,3",No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
07.05.2018 05:00,"10,0","647,4",,"-0,1",81,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
07.05.2018 04:00,"11,2","647,4",,"-0,3",74,Wind blowing from the east,2,,,,,,,,,,,,,,,"6,6",No precipitation,1,,,,
07.05.2018 03:00,"11,1","647,5",,"-0,4",73,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"6,4",,,,,,
07.05.2018 02:00,"11,4","647,5",,"-0,4",72,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"6,4",No precipitation,1,,,,
07.05.2018 01:00,"11,3","647,7",,"-0,3",75,Wind blowing from the south,1,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
07.05.2018 00:00,"11,0","647,9",,"0,0",81,Wind blowing from the south-southeast,1,,,,,,,,,,,,,,,"7,8",No precipitation,6,,,,
06.05.2018 23:00,"11,3","647,9",,"0,2",81,Wind blowing from the south-southwest,2,,,,,,,,,,,,,,,"8,2",No precipitation,1,,,,
06.05.2018 22:00,"11,6","648,0",,"0,6",79,Wind blowing from the south-east,1,,,,,,,,,,,,,,,"8,1",No precipitation,1,,,,
06.05.2018 21:00,"11,5","647,9",,"0,7",80,Wind blowing from the west,2,,,,,,,,,,,,,,,"8,1",,,,,,
06.05.2018 20:00,"11,2","647,7",,"0,5",83,Wind blowing from the west,1,,,,,,,,,,,,,,,"8,3",No precipitation,1,,,,
06.05.2018 19:00,"12,5","647,4",,"0,2",73,Wind blowing from the west-northwest,4,,,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
06.05.2018 18:00,"14,1","647,2",,"-0,2",64,Wind blowing from the north,2,,,,,,,,"18,9",,,,,,,"7,3",No precipitation,12,,,,
06.05.2018 17:00,"16,0","647,2",,"-0,5",57,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"7,3",No precipitation,1,,,,
06.05.2018 16:00,"17,2","647,2",,"-0,5",52,Wind blowing from the south,1,,,,,,,,,,,,,,,"7,3",No precipitation,1,,,,
06.05.2018 15:00,"17,9","647,4",,"-0,4",52,Wind blowing from the east,2,,,,,,,,,,,,,,,"7,8",,,,,,
06.05.2018 14:00,"18,4","647,7",,"-0,1",56,Wind blowing from the east,3,,,,,,,,,,,,,,,"9,4",No precipitation,1,,,,
06.05.2018 13:00,"16,9","647,7",,"-0,1",58,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"8,6",No precipitation,1,,,,
06.05.2018 12:00,"16,9","647,8",,"0,0",59,Wind blowing from the east,5,,,,,,,,,,,,,,,"8,8",No precipitation,6,,,,
06.05.2018 11:00,"16,2","647,8",,"0,1",64,Wind blowing from the east,4,,,,,,,,,,,,,,,"9,3",No precipitation,1,,,,
06.05.2018 10:00,"14,2","647,8",,"0,3",67,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"8,0",No precipitation,1,,,,
06.05.2018 09:00,"13,7","647,8",,"0,7",71,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"8,5",,,,,,
06.05.2018 08:00,"11,2","647,7",,"0,8",77,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
06.05.2018 07:00,"10,5","647,5",,"0,7",77,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"6,6",No precipitation,1,,,,
06.05.2018 06:00,"8,4","647,1",,"-0,1",84,Wind blowing from the south-east,3,,,,,,,"7,4",,,,,,,,"5,8",No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
06.05.2018 05:00,"8,1","646,9",,"-0,4",83,Wind blowing from the south-southeast,3,,,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
06.05.2018 04:00,"8,6","646,8",,"-0,7",82,Wind blowing from the south-southeast,2,,,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
06.05.2018 03:00,"9,8","647,2",,"-0,6",77,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"5,9",,,,,,
06.05.2018 02:00,"9,3","647,3",,"-0,5",78,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
